company name,location
Sanetta,Meßstetten
Country Line Trachtenmoden GmbH,Mühldorf a. Inn
Gebrüder Aurich GmbH,Radevormwald
Bauer Fashion GmbH,Leidersbach
BOFA-Doublet GmbH,Hennef (Sieg)
erima GmbH,Pfullingen
Klaus Herding GmbH,Rhede
DIGEL Aktiengesellschaft,Nagold
August Bickert GmbH & Co. KG,Großostheim
WEITBLICK GmbH & Co. KG,Kleinostheim
Friedrich W. Schneider GmbH & Co. KG,Köln
Création Gross GmbH & Co. KG,Hersbruck
monari GmbH,Gronau (Westf.)
BURBERRY Deutschland GmbH,Düsseldorf
WINDSOR,Bielefeld
Heinrich Nickel GmbH & Co. KG,Glinde
HF Sicherheitskleidung Produktions-,Vohburg an der Donau
bugatti GmbH,Herford
Dressler Bekleidungswerke,Großostheim
Pikeur Reitmode,Werther (Westfalen)
Mastex GmbH,Mönchengladbach
Bottega Veneta Germany GmbH,München
7days jobwear GmbH,Lotte
Velcro GmbH,Freiberg am Neckar
Kindermann GmbH,Bad Bentheim
Bianca Moden GmbH & Co. KG,Ochtrup
Forbo Siegling GmbH,Hannover
Karl Dieckhoff GmbH & Co. KG,Wuppertal
Brands Fashion GmbH,Buchholz in der Nordheide
AS System GmbH,Trittau
F&P Stock Solution GmbH,Falkensee
Adolf Riedl GmbH & Co. KG,Bayreuth
Porcher Industries Germany GmbH,Erbach
L-SHOP-TEAM GmbH,Dortmund
Esprit Europe GmbH,Ratingen
Ernst Faber GmbH,Töpen
Rofa Bekleidungswerk GmbH & Co KG,Schüttorf
Fischerkleidung GmbH Kleiderfabrik,Schuttertal
Falk & Ross Group Europe GmbH,Sembach
Miltenberger Otto Aulbach GmbH,Miltenberg
CASAMODA,Oldenburg (Oldenburg)
LHD Group Deutschland GmbH,Wesseling
Albrecht Bender GmbH u. Co,Weißenburg in Bayern
CHANGE Sportswear GmbH & Co. KG,Wald
SCHÖFFEL Sportbekleidung GmbH,Schwabmünchen
Zweigart & Sawitzki GmbH & Co. KG,Sindelfingen
Gerke AG,Uslar
Godske Group GmbH,Goslar
JOKER Jürgen Bernlöhr GmbH,Bönnigheim
Frankenwälder E. Held GmbH & Co. KG,Münchberg
Trachten- und Modehaus,Garmisch-Partenkirchen
Grein GmbH,Eschwege
PVH Brands Germany GmbH,Düsseldorf
Ermenegildo Zegna GmbH,München
Ernst Feiler GmbH,Hohenberg a.d.Eger
Lederfabrik Josef Heinen GmbH & Co KG,Wegberg
Lässig GmbH,Babenhausen
Krüger-Dirndl GmbH,Wernau (Neckar)
OSPIG GmbH & Co. KG,Bremen
Rösch Fashion GmbH & Co. KG,Tübingen
Setex-Textil-GmbH,Greven
CWS Supply GmbH,Lauterbach (Hessen)
D.H. Fashion GmbH,Großostheim
LERROS Moden GmbH,Neuss
Tricia Jones GmbH,München
Kaiser Bekleidungs GmbH,Kleinheubach
Santex Moden GmbH,Würselen
Work in Progress Textilhandels GmbH,Weil am Rhein
VIA APPIA MODE GmbH,Erlangen
IB Company KG,Düsseldorf
Eugen Klein GmbH,Dillenburg
Emmerling Knorren Nichols GmbH,Hirschbach
Spieth & Wensky GmbH,Obernzell
Canda International GmbH & Co. OHG,Essen
HAKRO GmbH,Schrozberg
Schümer Textil GmbH,Schüttorf
BaF Brothers and Friends GmbH,Hörstel
Atelier Gardeur GmbH,Mönchengladbach
Textilveredelung Edgar Kunz,Aschaffenburg
Distra Warenhandelsgesellschaft,Schwabach
Sterntaler GmbH,Dornburg
Technische Textilien,Lörrach
Sixty Europe S.A.,Mörfelden-Walldorf
ALBERTO GmbH & Co. KG,Mönchengladbach
Lebek International Fashion GmbH & Co. KG,Bad Marienberg (Westerwald)
Verseidag-Indutex GmbH,Krefeld
UVEX ARBEITSSCHUTZ GMBH,Fürth
Ferd. Hauber GmbH,Nürtingen
Strickmoden Bruno Barthel GmbH & Co. KG,Chemnitz
FD Fashion Design Herrenmode GmbH,Miltenberg
DIESEL DEUTSCHLAND GmbH,Düsseldorf
Mavi Europe AG,Heusenstamm
Meindl Bekleidung GmbH & Co. KG,Kirchanschöring
Uhlemann & Lantzsch GmbH,Frankenberg/Sachsen
Fuchs & Schmitt GmbH & Co. KG,Aschaffenburg
Lacoste Germany GmbH,München
Escape Clothing GmbH,Brannenburg
strickchic GmbH,Apolda
Müller Textil GmbH,Wiehl
Closed GmbH,Hamburg
Modeka International GmbH,Beckum
Jansen Fashion Group GmbH,Wesseling
Betty Barclay Group GmbH & Co. KG,Nußloch
Rabe Moden GmbH,Hilter am Teutoburger Wald
Ralph Lauren Germany GmbH,München
InnoTex Merkel & Rau GmbH,Frankenberg/Sachsen
Suedwolle Group GmbH,Schwaig
Reichart Blusen GmbH,Uffenheim
MBG Techbelt Innovation GmbH,Münchberg
Flick Fashion Group,Bielefeld
Sassa Mode GmbH,Bad Urach
LIROS GmbH,Berg
TAM Fashion GmbH,Hamburg
Woolrich Germany GmbH,München
ACTC GmbH,Erkrath
Lady-Set Schüssler + Zachmann GmbH,Aschaffenburg
Chiemsee GmbH & Co. KG,Norderstedt
V. Fraas GmbH,Helmbrechts
Dingelstädter Strick GmbH,Dingelstädt
Willy Bogner GmbH & Co. KGaA,München
Hermann Lange GmbH & Co. KG,Bielefeld
W. ZERRES GmbH & Co. KG,Mönchengladbach
11teamsports Print GmbH,Helmstadt-Bargen
Stooker Brands GmbH,Syke
Ahlers AG,Herford
Alfred Seifert & Söhne GmbH,Dörzbach
Miroglio Deutschland GmbH,Dietzenbach
Albani Group GmbH & Co. KG,Augsburg
Moldex/Metric AG & Co. KG,Walddorfhäslach
GANT DACH GmbH,Holzwickede
Stegmaier Textiltechnik GmbH & Co. KG,Schemmerhofen
Stehmann Mode GmbH,Fürth
SE - Blusen Stenau GmbH,Gronau (Westf.)
Dacor Etiketten Dausend und Steuernagel,Wuppertal
Paul H. Kübler Bekleidungswerk,Plüderhausen
Ringella Bekleidungswerk GmbH,Hildesheim
Hatico Mode GmbH,Tirschenreuth
Ahlers Zentralverwaltung GmbH,Herford
manomama GmbH,Augsburg
ETV EING TEXTIL-VEREDLUNG GmbH & Co. KG,Gescher
Miles GmbH,Norderstedt
AWK GmbH & Co. KG,Fellbach
Heinrich Vorndamme O.H.G.,Horn-Bad Meinberg
SUSA-Vertriebs-GmbH + Co,Heubach
Meyer-Hosen-Aktiengesellschaft,Reichshof
Willax GmbH Bekleidungswerk,Beilngries
Krass & Wissing GmbH,Steinfurt
Bw Bekleidungsmanagment GmbH,Köln
G. Güldenpfennig GmbH,Quakenbrück
wind GmbH,Hamburg
Spekon,Seifhennersdorf
ZOLLNER Objekttextil GmbH,Vilsbiburg
C. Brühl GmbH & Co. KG,Rotenburg an der Fulda
Bültel Bekleidungswerke GmbH,Salzbergen
Cinque Moda GmbH,Mönchengladbach
ESCADA Textilvertrieb GmbH,Aschheim
ETERNA Mode GmbH,Passau
MAERZ Muenchen KG,München
Levi Strauss Germany GmbH,Offenbach am Main
LODEN-FREY Verkaufshaus GmbH & Co. KG,München
Oui Gruppe GmbH & Co. KG,München
Marc Aurel Textil-GmbH,Gütersloh
MUSTANG GmbH,Schwäbisch Hall
Olymp Bezner KG,Bietigheim-Bissingen
Fashion Box Deutschland GmbH,Düsseldorf
